IAR,ModelSize,mean_latency_ms,std_latency_ms,n,arrival_rate,sem_latency_ms
5000,1.0,233.63813885953277,28.521429563813623,6,0.20000000000000004,11.643824861012394
2000,1.0,234.29319464291135,15.469649515031971,6,0.5,6.31545796858693
1000,1.0,236.9409028130273,30.37573576448187,6,1.0,12.400842197431748
750,1.0,272.08376857452095,110.14056593171415,65,1.3333333333333333,13.66125586284538
500,1.0,269.26103831383574,142.5815494964726,138,2.0,12.137347517457407
5000,2.0,1398.887974768877,467.698678184492,5,0.2,209.1612074814644
2000,2.0,1891.638924786821,781.6841037498286,5,0.5,349.579758583123
1000,2.0,8656.468194521343,5580.669309687363,6,1.0,2278.2987053240126
750,2.0,17196.370027752386,3872.255700187999,9,1.3333333333333333,1290.7519000626664
500,2.0,17638.291661819334,8372.576175084378,17,2.0,2030.6479957883996
5000,3.0,1840.5444242525846,635.4304260672334,11,0.2,191.58948214915276
2000,3.0,4330.140179576119,4473.0076906993445,16,0.5,1118.2519226748361
1000,3.0,10572.656708332943,2462.973970849968,16,1.0,615.743492712492
750,3.0,17737.54141183899,4122.379810371528,17,1.3333333333333333,999.8239639456183
500,3.0,19586.896439403943,5861.106119239818,66,2.0,721.4522910053199
5000,5.0,2070.097309013363,412.3128465237464,12,0.20000000000000004,119.02446646541291
2000,5.0,30229.881499981275,9321.949777052461,8,0.5,3295.80695061711
1000,5.0,26803.886089274394,11206.058799572245,7,1.0,4235.492108690737
750,5.0,46320.52510823123,8786.075085213331,5,1.3333333333333333,3929.252229190853
500,5.0,57932.94235417852,5378.059114235252,4,2.0,2689.029557117626
